Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
15.04296875,962,4148.4614257812,4172.3076171875,4108.9741210938,4168.3334960938,4140.1284179688,4154.615234375,4136.1538085938,4128.3334960938,4147.1796875,4122.1796875,4124.615234375,4155.0,4107.9487304688,4076.41015625,,,
0.0703125,4,4151.41015625,4140.5126953125,4214.615234375,4121.6665039062,4148.3334960938,4159.7436523438,4165.6411132812,4160.5126953125,4172.3076171875,4172.1796875,4202.4360351562,4171.2822265625,4140.2563476562,4222.8203125,,,
1.7734375,113,4170.2563476562,4171.2822265625,4186.0258789062,4194.615234375,4169.2309570312,4162.9487304688,4169.1025390625,4153.0771484375,4158.205078125,4153.7177734375,4128.7177734375,4153.0771484375,4185.0,4154.8715820312,,,
13.8203125,884,4113.9741210938,4093.58984375,4145.5126953125,4097.6923828125,4126.0258789062,4152.3076171875,4114.8715820312,4095.3845214844,4089.2307128906,4092.1794433594,4096.6665039062,4092.1794433594,4064.1025390625,4105.6411132812,,,
19.11328125,1223,4165.1284179688,4173.0771484375,4146.41015625,4111.0258789062,4168.58984375,4162.1796875,4153.58984375,4202.5639648438,4209.8715820312,4217.5639648438,4274.2309570312,4202.4360351562,4200.7690429688,4218.9741210938,,,
5.8515625,374,4164.1025390625,4153.0771484375,4170.5126953125,4138.58984375,4167.0512695312,4159.7436523438,4181.9228515625,4157.5639648438,4177.4360351562,4172.6923828125,4211.2822265625,4180.384765625,4236.794921875,4177.4360351562,,,
6.69140625,428,4162.6923828125,4207.3076171875,4171.5385742188,4159.7436523438,4160.6411132812,4162.0512695312,4157.8203125,4166.41015625,4154.4873046875,4155.0,4142.9487304688,4147.4360351562,4150.384765625,4152.1796875,,,
5.3515625,342,4156.5385742188,4097.6923828125,4180.5126953125,4091.2819824219,4148.58984375,4160.8974609375,4167.6923828125,4166.9228515625,4172.8203125,4181.41015625,4215.2563476562,4180.7690429688,4139.615234375,4185.6411132812,,,
11.546875,739,4202.3076171875,4176.9228515625,4062.9487304688,4179.4873046875,4201.794921875,4168.3334960938,4216.6665039062,4216.2822265625,4226.41015625,4216.6665039062,4242.4360351562,4230.5126953125,4217.6923828125,4215.5126953125,,,
1.4375,92,4169.615234375,4119.4873046875,4159.7436523438,4076.1538085938,4154.7436523438,4162.1796875,4174.4873046875,4185.2563476562,4186.0258789062,4181.794921875,4205.2563476562,4176.2822265625,4092.9487304688,4216.9228515625,,,
10.15625,650,4159.3588867188,4179.615234375,4181.5385742188,4181.6665039062,4152.3076171875,4156.1538085938,4166.6665039062,4184.8715820312,4168.4614257812,4167.9487304688,4137.6923828125,4137.8203125,4115.2563476562,4180.6411132812,,,
5.34375,342,4151.41015625,4154.1025390625,4248.7177734375,4157.1796875,4157.8203125,4162.1796875,4155.5126953125,4156.9228515625,4149.3588867188,4139.7436523438,4144.3588867188,4138.0771484375,4093.3332519531,4144.7436523438,,,
13.37890625,856,4160.384765625,4142.0512695312,4180.7690429688,4105.8974609375,4167.6923828125,4160.7690429688,4169.7436523438,4156.1538085938,4183.3334960938,4187.4360351562,4223.8461914062,4178.4614257812,4171.1538085938,4155.5126953125,,,
14.98828125,959,4131.0258789062,4111.2822265625,4124.3588867188,4152.5639648438,4123.9741210938,4153.3334960938,4104.7436523438,4134.1025390625,4123.7177734375,4111.794921875,4090.6411132812,4109.3588867188,4096.794921875,4125.1284179688,,,
8.75,560,4142.6923828125,4152.9487304688,4069.6154785156,4104.1025390625,4151.41015625,4155.5126953125,4153.58984375,4155.5126953125,4152.8203125,4145.1284179688,4141.2822265625,4129.1025390625,4168.3334960938,4144.4873046875,,,
7.43359375,475,4120.1284179688,4057.3076171875,4153.205078125,4100.6411132812,4100.7690429688,4154.3588867188,4108.0771484375,4113.3334960938,4106.0258789062,4109.4873046875,4109.2309570312,4123.8461914062,4127.4360351562,4168.3334960938,,,
8.02734375,513,4155.7690429688,4151.0258789062,4241.1538085938,4160.5126953125,4144.615234375,4166.1538085938,4137.3076171875,4147.6923828125,4146.794921875,4156.9228515625,4151.1538085938,4165.0,4181.6665039062,4161.41015625,,,
